,CWD_Status,Case_ID,Province,Sex,Species
8033,Negative,9549,Alberta,Female,White-tailed Deer
8034,Negative,9550,Alberta,Female,White-tailed Deer
8035,Negative,9551,Alberta,Female,White-tailed Deer
8036,Negative,9552,Alberta,Female,White-tailed Deer
8037,Negative,9553,Alberta,Female,White-tailed Deer
8038,Negative,9554,Alberta,Female,White-tailed Deer
8039,Negative,9555,Alberta,Female,White-tailed Deer
8040,Negative,9556,Alberta,Female,White-tailed Deer
8041,Negative,9557,Alberta,Female,White-tailed Deer
8042,Negative,9558,Alberta,Female,White-tailed Deer
8043,Negative,9559,Alberta,Female,White-tailed Deer
8044,Negative,9560,Alberta,Female,White-tailed Deer
8045,Negative,9561,Alberta,Female,White-tailed Deer
8046,Negative,9562,Alberta,Female,White-tailed Deer
8047,Negative,9563,Alberta,Female,White-tailed Deer
8048,Negative,9564,Alberta,Female,White-tailed Deer
8049,Negative,9565,Alberta,Female,White-tailed Deer
8050,Negative,9566,Alberta,Female,White-tailed Deer
8051,Negative,9567,Alberta,Female,White-tailed Deer
8052,Negative,9568,Alberta,Female,White-tailed Deer
8053,Negative,9569,Alberta,Female,White-tailed Deer
8054,Negative,9570,Alberta,Female,White-tailed Deer
8055,Negative,9571,Alberta,Female,White-tailed Deer
8056,Negative,9572,Alberta,Female,White-tailed Deer
8057,Negative,9573,Alberta,Female,White-tailed Deer
8058,Negative,9574,Alberta,Female,White-tailed Deer
8059,Negative,9575,Alberta,Female,White-tailed Deer
8060,Negative,9576,Alberta,Female,White-tailed Deer
8061,Negative,9577,Alberta,Female,White-tailed Deer
8062,Negative,9578,Alberta,Female,White-tailed Deer
8063,Negative,9579,Alberta,Female,White-tailed Deer
8064,Negative,9580,Alberta,Female,White-tailed Deer
8065,Negative,9581,Alberta,Female,White-tailed Deer
8066,Negative,9582,Alberta,Female,White-tailed Deer
8067,Negative,9583,Alberta,Female,White-tailed Deer
8068,Negative,9584,Alberta,Female,White-tailed Deer
8069,Negative,9585,Alberta,Female,White-tailed Deer
8070,Negative,9586,Alberta,Female,White-tailed Deer
8071,Negative,9587,Alberta,Female,White-tailed Deer
8072,Negative,9588,Alberta,Female,White-tailed Deer
8073,Negative,9589,Alberta,Female,White-tailed Deer
8074,Negative,9590,Alberta,Female,White-tailed Deer
8075,Negative,9591,Alberta,Female,White-tailed Deer
8076,Negative,9592,Alberta,Female,White-tailed Deer
8077,Negative,9593,Alberta,Female,White-tailed Deer
8078,Negative,9594,Alberta,Female,White-tailed Deer
8079,Negative,9595,Alberta,Female,White-tailed Deer
8080,Negative,9596,Alberta,Female,White-tailed Deer
8081,Negative,9597,Alberta,Female,White-tailed Deer
8082,Negative,9598,Alberta,Female,White-tailed Deer
8083,Negative,9599,Alberta,Female,White-tailed Deer
8084,Negative,9600,Alberta,Female,White-tailed Deer
8085,Negative,9601,Alberta,Female,White-tailed Deer
8086,Negative,9602,Alberta,Female,White-tailed Deer
8087,Negative,9603,Alberta,Female,White-tailed Deer
8088,Negative,9604,Alberta,Female,White-tailed Deer
8089,Negative,9605,Alberta,Female,White-tailed Deer
8090,Negative,9606,Alberta,Female,White-tailed Deer
8091,Negative,9607,Alberta,Female,White-tailed Deer
8092,Negative,9608,Alberta,Female,White-tailed Deer
8093,Negative,9609,Alberta,Female,White-tailed Deer
8094,Negative,9610,Alberta,Female,White-tailed Deer
8095,Negative,9611,Alberta,Female,White-tailed Deer
8096,Negative,9612,Alberta,Female,White-tailed Deer
8097,Negative,9613,Alberta,Female,White-tailed Deer
8098,Negative,9614,Alberta,Female,White-tailed Deer
8099,Negative,9615,Alberta,Female,White-tailed Deer
8100,Negative,13239,Alberta,Male,Mule Deer
8101,Negative,13240,Alberta,Male,Mule Deer
8102,Negative,13241,Alberta,Male,Mule Deer
8103,Negative,13242,Alberta,Male,Mule Deer
8104,Negative,13243,Alberta,Male,Mule Deer
8105,Negative,19145,Alberta,Male,White-tailed Deer
8106,Negative,19146,Alberta,Male,White-tailed Deer
8107,Negative,19147,Alberta,Male,White-tailed Deer
8108,Negative,19148,Alberta,Male,White-tailed Deer
8109,Negative,19149,Alberta,Male,White-tailed Deer
8110,Negative,19150,Alberta,Male,White-tailed Deer
8111,Negative,19151,Alberta,Male,White-tailed Deer
8112,Negative,19152,Alberta,Male,White-tailed Deer
8113,Negative,19153,Alberta,Male,White-tailed Deer
8114,Negative,19154,Alberta,Male,White-tailed Deer
8115,Negative,19155,Alberta,Male,White-tailed Deer
8116,Negative,19713,Alberta,Male,White-tailed Deer
8117,Negative,19714,Alberta,Male,White-tailed Deer
8118,Negative,19715,Alberta,Male,White-tailed Deer
8119,Negative,19716,Alberta,Male,White-tailed Deer
8120,Negative,19717,Alberta,Male,White-tailed Deer
8121,Negative,19718,Alberta,Male,White-tailed Deer
8122,Negative,19719,Alberta,Male,White-tailed Deer
8123,Negative,19720,Alberta,Male,White-tailed Deer
8124,Negative,501,Alberta,Female,Mule Deer
8125,Negative,8483,Alberta,Female,White-tailed Deer
8126,Negative,8484,Alberta,Female,White-tailed Deer
8127,Negative,8485,Alberta,Female,White-tailed Deer
8128,Negative,8486,Alberta,Female,White-tailed Deer
8129,Negative,8487,Alberta,Female,White-tailed Deer
8130,Negative,8488,Alberta,Female,White-tailed Deer
8131,Negative,8489,Alberta,Female,White-tailed Deer
8132,Negative,8490,Alberta,Female,White-tailed Deer
8133,Negative,8491,Alberta,Female,White-tailed Deer
8134,Negative,8492,Alberta,Female,White-tailed Deer
8135,Negative,8493,Alberta,Female,White-tailed Deer
8136,Negative,8494,Alberta,Female,White-tailed Deer
8137,Negative,9616,Alberta,Female,White-tailed Deer
8138,Negative,9617,Alberta,Female,White-tailed Deer
8139,Negative,9618,Alberta,Female,White-tailed Deer
8140,Negative,9619,Alberta,Female,White-tailed Deer
8141,Negative,9620,Alberta,Female,White-tailed Deer
