Case_ID,Province,Harvest Type,ObsDate,Month_Obs,Year_Obs,Easting,Northing,Species,Sex,CWD Status
92,Alberta,Hunter,"Sunday, November 21, 2010",11,2010,560000,5870000,Mule Deer,Male,Positive
93,Alberta,Hunter,"Monday, December 06, 2010",12,2010,520000,5950000,Mule Deer,Male,Positive
94,Alberta,Hunter,"Wednesday, November 17, 2010",11,2010,550000,5900000,Mule Deer,Male,Positive
30014,Saskatchewan,Hunter,2005-10-31 0:00,10,2005,605821.0885,5815939.691,Mule Deer,Male,Negative
30015,Saskatchewan,Hunter,2005-11-15 0:00,11,2005,572380.1422,5819040.545,Mule Deer,Female,Negative
30017,Saskatchewan,Hunter,2005-11-01 0:00,11,2005,572858.7101,5820453.745,Mule Deer,Male,Negative
30018,Saskatchewan,Hunter,2005-11-19 0:00,11,2005,575440.1263,5822331.617,Mule Deer,Female,Negative
30019,Saskatchewan,Hunter,2005-11-10 0:00,11,2005,571518.5021,5823354.352,Mule Deer,Female,Negative
30020,Saskatchewan,Hunter,2005-11-04 0:00,11,2005,572587.2301,5824142.682,Mule Deer,Female,Negative
30021,Saskatchewan,Hunter,2005-11-07 0:00,11,2005,578495.9568,5825624.652,Mule Deer,Female,Negative
30022,Saskatchewan,Hunter,2005-11-12 0:00,11,2005,578495.9568,5825624.652,Mule Deer,Female,Negative
30023,Saskatchewan,Hunter,2005-11-18 0:00,11,2005,579610.2556,5826569.815,Mule Deer,Female,Negative
30024,Saskatchewan,Hunter,2005-12-02 0:00,12,2005,610379.7334,5827167.966,Mule Deer,Female,Negative
30025,Saskatchewan,Hunter,2005-11-11 0:00,11,2005,579045.6643,5826560.65,Mule Deer,Male,Negative
30026,Saskatchewan,Hunter,2005-11-19 0:00,11,2005,589232.3345,5827477.793,Mule Deer,Female,Negative
30027,Saskatchewan,Hunter,2005-11-07 0:00,11,2005,574152.1142,5827751.013,Mule Deer,Female,Negative
30028,Saskatchewan,Hunter,2005-11-14 0:00,11,2005,574152.1142,5827751.013,Mule Deer,Female,Negative
30029,Saskatchewan,Hunter,2005-11-08 0:00,11,2005,581273.182,5828451.495,Mule Deer,Female,Negative
30030,Saskatchewan,Hunter,2005-12-12 0:00,12,2005,578827.5506,5828411.411,Mule Deer,Female,Negative
30031,Saskatchewan,Hunter,2005-12-12 0:00,12,2005,578827.5506,5828411.411,Mule Deer,Female,Negative
