id,province,case_id,species,sex,cwd_status
316,Saskatchewan,30230,"Mule Deer",Male,Negative
317,Saskatchewan,30231,"Mule Deer",Female,Negative
318,Saskatchewan,30232,"Mule Deer",Female,Negative
319,Saskatchewan,30233,"Mule Deer",Female,Negative
320,Saskatchewan,30234,"Mule Deer",Female,Negative
321,Saskatchewan,30235,"Mule Deer",Female,Negative
322,Saskatchewan,30236,"Mule Deer",Female,Negative
323,Saskatchewan,30237,"Mule Deer",Male,Negative
324,Saskatchewan,30238,"Mule Deer",Male,Negative
325,Saskatchewan,30239,"Mule Deer",Female,Negative
326,Saskatchewan,30240,"Mule Deer",Female,Negative
327,Saskatchewan,30241,"Mule Deer",Male,Negative
328,Saskatchewan,30242,"Mule Deer",Female,Negative
329,Saskatchewan,30243,"Mule Deer",Male,Negative
330,Saskatchewan,30244,"Mule Deer",Female,Negative
331,Saskatchewan,30245,"Mule Deer",Male,Negative
332,Saskatchewan,30246,"Mule Deer",Male,Negative
333,Saskatchewan,30247,"Mule Deer",Male,Negative
334,Saskatchewan,30248,"Mule Deer",Female,Negative
335,Saskatchewan,30249,"Mule Deer",Female,Negative
336,Saskatchewan,30250,"Mule Deer",Female,Negative
337,Saskatchewan,30252,"Mule Deer",Female,Negative
338,Saskatchewan,30253,"Mule Deer",Male,Negative
339,Saskatchewan,30254,"Mule Deer",Female,Negative
340,Saskatchewan,30255,"Mule Deer",Female,Negative
341,Saskatchewan,30256,"Mule Deer",Female,Negative
342,Saskatchewan,30257,"Mule Deer",Female,Negative
343,Saskatchewan,30258,"Mule Deer",Male,Negative
344,Saskatchewan,30259,"Mule Deer",Male,Negative
345,Saskatchewan,30260,"Mule Deer",Male,Negative
346,Saskatchewan,30261,"Mule Deer",Female,Negative
347,Saskatchewan,30262,"Mule Deer",Female,Negative
348,Saskatchewan,30263,"Mule Deer",Female,Negative
349,Saskatchewan,30264,"Mule Deer",Female,Negative
350,Saskatchewan,30265,"Mule Deer",Female,Negative
351,Saskatchewan,30266,"Mule Deer",Female,Negative
352,Saskatchewan,30267,"Mule Deer",Female,Negative
353,Saskatchewan,30268,"Mule Deer",Female,Negative
354,Saskatchewan,30269,"Mule Deer",Male,Negative
355,Saskatchewan,30270,"Mule Deer",Female,Negative
356,Saskatchewan,30271,"Mule Deer",Female,Negative
357,Saskatchewan,30272,"Mule Deer",Female,Negative
358,Saskatchewan,30273,"Mule Deer",Female,Negative
359,Saskatchewan,30274,"Mule Deer",Female,Negative
360,Saskatchewan,30275,"Mule Deer",Female,Negative
361,Saskatchewan,30276,"Mule Deer",Female,Negative
362,Saskatchewan,30277,"Mule Deer",Female,Negative
363,Saskatchewan,30278,"Mule Deer",Female,Negative
364,Saskatchewan,30279,"Mule Deer",Female,Negative
365,Saskatchewan,30280,"Mule Deer",Female,Negative
366,Saskatchewan,30281,"Mule Deer",Female,Negative
367,Saskatchewan,30282,"Mule Deer",Female,Negative
368,Saskatchewan,30283,"Mule Deer",Female,Negative
369,Saskatchewan,30284,"Mule Deer",Female,Negative
370,Saskatchewan,30285,"Mule Deer",Female,Negative
371,Saskatchewan,30286,"Mule Deer",Female,Negative
372,Saskatchewan,30287,"Mule Deer",Male,Negative
373,Saskatchewan,30288,"Mule Deer",Female,Negative
374,Saskatchewan,30289,"Mule Deer",Female,Negative
375,Saskatchewan,30290,"Mule Deer",Female,Negative
376,Saskatchewan,30291,"Mule Deer",Female,Negative
377,Saskatchewan,30292,"Mule Deer",Female,Negative
378,Saskatchewan,30293,"Mule Deer",Female,Negative
379,Saskatchewan,30294,"Mule Deer",Female,Negative
380,Saskatchewan,30295,"Mule Deer",Female,Negative
381,Saskatchewan,30296,"Mule Deer",Female,Negative
382,Saskatchewan,30297,"Mule Deer",Female,Negative
383,Saskatchewan,30298,"Mule Deer",Female,Negative
384,Saskatchewan,30299,"Mule Deer",Female,Negative
385,Saskatchewan,30300,"Mule Deer",Female,Negative
386,Saskatchewan,30301,"Mule Deer",Female,Negative
387,Saskatchewan,30302,"Mule Deer",Female,Negative
388,Saskatchewan,30303,"Mule Deer",Male,Negative
389,Saskatchewan,30304,"Mule Deer",Female,Negative
390,Saskatchewan,30305,"Mule Deer",Male,Negative
391,Saskatchewan,30306,"Mule Deer",Female,Negative
392,Saskatchewan,30307,"Mule Deer",Female,Negative
393,Saskatchewan,30308,"Mule Deer",Male,Negative
394,Saskatchewan,30309,"Mule Deer",Male,Negative
395,Saskatchewan,30310,"Mule Deer",Female,Negative
396,Saskatchewan,30311,"Mule Deer",Female,Negative
397,Saskatchewan,30312,"Mule Deer",Female,Negative
398,Saskatchewan,30313,"Mule Deer",Female,Negative
399,Saskatchewan,30314,"Mule Deer",Male,Negative
400,Saskatchewan,30315,"Mule Deer",Female,Negative
401,Saskatchewan,30316,"Mule Deer",Female,Negative
402,Saskatchewan,30317,"Mule Deer",Female,Negative
403,Saskatchewan,30318,"Mule Deer",Male,Negative
404,Saskatchewan,30319,"Mule Deer",Female,Negative
405,Saskatchewan,30320,"Mule Deer",Female,Negative
406,Saskatchewan,30321,"Mule Deer",Male,Negative
407,Saskatchewan,30322,"Mule Deer",Female,Negative
408,Saskatchewan,30323,"Mule Deer",Male,Negative
409,Saskatchewan,30324,"Mule Deer",Female,Negative
410,Saskatchewan,30325,"Mule Deer",Female,Negative
411,Saskatchewan,30326,"Mule Deer",Female,Negative
412,Saskatchewan,30327,"Mule Deer",Female,Negative
413,Saskatchewan,30328,"Mule Deer",Female,Negative
414,Saskatchewan,30329,"Mule Deer",Female,Negative
415,Saskatchewan,30330,"Mule Deer",Female,Negative
416,Saskatchewan,30331,"Mule Deer",Male,Negative
417,Saskatchewan,30332,"Mule Deer",Female,Negative
418,Saskatchewan,30333,"Mule Deer",Female,Negative
419,Saskatchewan,30334,"Mule Deer",Female,Negative
420,Saskatchewan,30335,"Mule Deer",Male,Negative
421,Saskatchewan,30336,"Mule Deer",Female,Negative
422,Saskatchewan,30344,"White-tailed Deer",Female,Negative
423,Saskatchewan,30345,"White-tailed Deer",Female,Negative
424,Saskatchewan,30346,"White-tailed Deer",Female,Negative
425,Saskatchewan,30347,"White-tailed Deer",Female,Negative
426,Saskatchewan,30348,"White-tailed Deer",Female,Negative
427,Saskatchewan,30349,"White-tailed Deer",Female,Negative
428,Saskatchewan,30350,"White-tailed Deer",Male,Negative
429,Saskatchewan,30351,"White-tailed Deer",Male,Negative
430,Saskatchewan,30352,"White-tailed Deer",Female,Negative
431,Saskatchewan,30353,"White-tailed Deer",Female,Negative
432,Saskatchewan,30354,"White-tailed Deer",Male,Negative
433,Saskatchewan,30355,"White-tailed Deer",Female,Negative
434,Saskatchewan,30356,"White-tailed Deer",Female,Negative
435,Saskatchewan,30357,"White-tailed Deer",Female,Negative
436,Saskatchewan,30358,"White-tailed Deer",Female,Negative
437,Saskatchewan,30359,"White-tailed Deer",Male,Negative
438,Saskatchewan,30360,"White-tailed Deer",Female,Negative
