id,province,sex,species,cwd_status,population
293,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
294,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
295,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
296,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
297,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
298,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
299,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
300,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
301,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
302,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
303,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
304,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
305,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
306,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
307,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
308,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
309,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
310,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
311,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
312,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
313,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
314,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
315,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
316,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
317,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
318,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
319,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
320,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
321,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
322,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
323,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
324,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
325,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
326,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
327,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
328,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
329,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
330,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
331,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
332,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
333,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
334,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
335,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
336,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
337,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
338,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
339,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
340,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
341,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
342,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
343,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
344,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
345,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
346,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
347,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
348,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
349,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
350,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
351,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
352,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
353,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
354,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
355,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
356,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
357,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
358,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
359,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
360,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
361,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
